Overall Qual,SalePrice
6,215000
5,105000
6,172000
7,244000
5,189900
6,195500
8,213500
8,191500
8,236500
7,189000
6,175900
6,185000
6,180400
7,171500
8,212000
8,538000
8,164000
9,394432
4,141000
6,210000
6,190000
7,170000
7,216000
6,149000
5,149900
5,142000
4,126000
4,115000
7,184000
6,96000
5,105500
6,88000
6,127500
6,149900
7,120000
6,146000
9,376162
8,306000
9,395192
8,290941
7,220000
9,275000
8,259000
7,214000
9,611657
7,224000
9,500000
8,320000
9,319900
8,205000
7,175500
6,199500
7,160000
8,192000
7,184500
6,216500
7,185088
7,180000
7,222500
9,333168
8,355000
7,260400
8,325000
8,290000
7,221000
8,410000
8,221500
7,204500
7,215200
8,262500
7,254900
6,271500
7,233000
7,181000
7,205000
6,143000
6,189000
6,99500
6,125000
7,194500
6,152000
6,171000
5,67500
6,112000
5,148000
5,138500
5,122000
5,133000
5,127000
6,169000
7,190000
8,362500
8,285000
7,260000
7,190000
7,155000
7,151000
7,149500
6,152000
7,222000
6,177500
6,177000
7,155000
7,147110
8,267916
8,254000
8,155000
8,206000
6,130500
7,230000
6,218500
6,243500
6,205000
6,212500
7,196500
6,197500
6,171000
5,142250
6,143000
4,128950
5,159000
5,178900
6,136300
5,180500
6,137500
5,84900
5,142125
5,197600
6,172500
5,116500
3,76500
5,128000
6,153000
5,132000
6,178000
5,154300
7,180000
6,190000
5,135000
7,214000
5,136000
5,165500
5,145000
6,148000
5,142000
5,167500
5,108538
6,159500
4,108000
5,135000
5,122500
5,119000
5,109000
4,105000
5,107500
5,144900
5,129000
6,97500
6,144000
5,162000
7,242000
6,132000
5,154000
5,166000
5,134800
6,160000
5,148000
6,192000
6,155000
4,80400
4,96500
5,109500
5,115000
5,143000
3,107400
4,80000
5,119000
5,130000
6,119000
5,129000
5,100000
2,12789
6,105900
8,150000
5,139000
8,240000
5,76500
6,149700
4,125500
4,122500
6,140750
5,128500
7,209500
4,87000
6,134000
6,128000
5,132000
6,139900
5,123900
5,138400
6,109500
7,140000
4,149500
6,159900
6,122000
5,110000
4,55000
5,140000
7,244400
5,173000
5,107500
5,100000
6,95000
4,93369
5,114900
5,94000
4,136000
4,136500
5,131500
5,121500
5,125000
5,154000
5,137900
6,158000
5,137250
5,160250
5,163000
6,158900
7,328000
7,270000
4,85000
4,128000
7,260000
6,230000
3,124000
5,83000
6,144500
5,129000
4,127000
5,128000
6,186000
7,308030
5,114000
4,84900
6,178000
7,270000
6,218000
7,236000
6,147000
8,245350
7,206000
7,198900
7,187000
7,320000
6,138500
6,155000
5,159000
7,191000
6,200500
5,150000
6,161750
5,128200
5,127000
8,318000
8,272000
7,237000
7,240000
7,224900
6,143750
6,143000
8,232000
7,213000
7,185500
3,84900
5,155891
5,100000
5,144000
4,64000
6,125200
6,107000
4,90000
4,140000
6,113000
4,80000
5,144500
5,104000
6,128000
3,58500
5,127000
6,126000
4,160000
5,100000
6,169000
7,257500
5,215000
7,266500
7,335000
7,203135
8,185000
8,162500
7,289000
4,125500
2,82000
6,110000
4,68400
4,102776
5,55993
4,50138
8,246000
8,254900
6,190000
7,201000
6,169900
6,170000
5,160000
7,220000
7,179781
5,174000
8,269500
7,214900
8,202900
9,378500
5,169000
5,173500
6,139000
5,166500
4,83500
5,119500
5,85000
4,76000
4,75500
4,88250
4,85500
5,130000
5,157900
5,149900
5,159000
5,136000
5,161000
8,285000
6,231000
6,124500
6,157000
8,345000
6,189500
8,270000
7,189000
9,377500
7,168500
8,375000
8,278000
8,240000
8,239500
7,177500
7,185000
6,191000
6,178000
6,185000
6,181316
6,166000
6,178000
6,174000
6,173000
7,225000
7,180500
8,187500
9,501837
8,372500
7,260000
5,185000
7,260000
6,181000
7,82500
6,215000
7,154000
6,200000
7,249000
7,187500
6,184000
8,278000
7,157000
7,152000
5,197500
7,240900
8,263435
8,220000
8,235000
5,213000
6,167900
7,158000
6,165000
6,158000
5,136000
5,148500
6,156000
5,128000
5,143000
4,76500
4,120500
4,124500
4,97000
4,130000
6,111000
5,125000
5,112000
6,97000
6,118000
5,119500
6,143750
6,146000
6,148500
7,123000
6,147000
6,137900
6,147000
6,148500
6,138000
7,128500
5,100000
5,148800
10,337500
9,462000
9,485000
10,555000
9,325000
8,256300
8,253293
9,398800
9,335000
9,404000
10,402861
10,451950
10,610000
9,582933
9,360000
8,296000
8,409900
8,255500
9,335000
8,274900
9,300000
9,324000
9,350000
8,280000
8,284000
7,269500
7,233170
10,386250
9,445000
8,290000
8,255900
6,213000
6,196000
6,184500
7,212500
7,230000
10,552000
8,382500
9,320000
9,248500
8,286500
8,254000
7,173000
7,173000
7,184000
6,167800
6,174000
6,174000
7,174000
7,175900
7,192500
7,181000
7,180000
7,160200
7,188500
6,200000
7,170000
7,189500
8,184100
7,195500
7,192000
7,178000
7,207500
7,236000
8,257500
6,244000
7,167000
6,179000
6,190000
7,156000
7,245000
6,181000
7,214000
7,168000
8,337000
8,403000
8,327000
8,340000
8,336000
7,265000
8,315000
7,260000
7,260000
8,263550
8,402000
7,248000
8,244600
8,275000
8,257500
8,287090
8,275500
8,245000
7,253000
9,468000
7,252678
8,210000
6,208300
7,225000
8,229456
7,229800
9,250000
9,370878
8,238500
10,310000
8,270000
8,252000
7,241000
8,264500
7,291000
7,263000
7,185000
7,234500
7,209000
7,159000
7,152000
6,143500
7,193000
8,203000
7,184900
7,159000
5,142000
5,153000
7,224243
7,220000
8,257000
7,189000
6,171500
6,120000
6,145000
7,184000
6,162000
6,160000
4,82000
6,76000
5,110000
5,135000
5,141000
5,122000
5,124100
5,129000
5,131400
5,62383
5,123000
8,275000
7,235000
7,280750
6,164500
6,173733
6,222000
6,195000
6,172500
6,180000
7,156000
8,172500
8,318750
8,211500
7,241600
8,180500
4,150000
6,154000
6,185000
6,185750
7,200000
7,206000
6,162000
6,256900
6,197900
5,163000
6,113000
7,230000
6,167900
7,213250
8,227000
5,130000
5,143000
5,117500
7,168500
6,172500
6,161500
4,141500
5,118000
6,127500
4,140000
5,177625
5,110000
6,167000
5,153000
5,145100
5,154000
5,177500
6,158000
5,124500
6,174500
5,122000
4,82500
5,110000
6,149500
6,175000
6,167000
5,128900
6,140000
5,147000
5,124000
6,187500
6,159000
6,256000
7,205000
6,193500
6,110000
4,104900
5,150000
6,156500
7,176000
6,149500
6,139000
6,155000
5,120000
5,153000
4,144000
6,176000
5,153000
5,135000
6,131000
5,123000
5,126000
4,115000
5,164900
5,113000
5,145500
5,102900
3,95000
7,152500
5,129900
6,132000
3,99900
5,135000
5,149000
4,114000
5,109500
5,125000
4,142900
7,156500
2,59000
4,105000
5,106000
3,78500
6,190000
6,154000
6,163000
5,200000
6,143500
6,135000
5,153000
6,157500
6,113500
5,133000
3,92900
6,128500
4,90000
5,138000
5,128000
5,139000
5,118900
5,138000
5,132500
4,133500
6,135000
6,144750
5,145000
6,127000
5,109500
6,115000
5,110000
6,128900
6,103500
5,66500
5,130000
5,129000
5,150000
5,107500
4,94550
5,124500
7,135000
5,103000
4,93000
5,129500
5,93000
4,80000
2,45000
3,37900
5,91300
5,99500
4,113000
4,87500
5,110000
5,106000
7,265979
6,160000
6,119000
8,168000
4,58500
7,143000
5,85000
5,124900
6,119000
6,146500
4,34900
3,44000
5,223500
6,149000
7,205000
5,137000
6,121000
4,128000
6,134900
5,117000
6,132500
5,93000
6,119000
5,100000
5,141500
4,133000
2,60000
5,105000
5,115000
5,150000
5,126500
6,214500
7,167500
6,155000
7,155000
7,179900
6,104000
5,62500
6,149000
4,103000
6,123000
7,97500
6,135000
4,70000
6,116000
4,88750
5,179000
5,179000
5,159900
1,61000
6,103600
5,63000
5,175000
5,139000
6,172500
5,113500
5,130000
6,149900
5,134900
5,137000
5,139000
5,165000
6,148000
5,165000
2,63900
4,161500
5,143000
4,135000
4,82500
5,190000
3,139600
4,122000
6,127500
5,121500
5,60000
6,154400
4,113000
5,125000
4,84000
5,139500
5,131000
6,105000
4,108000
7,162000
6,156500
8,316600
7,271900
7,213000
7,239900
8,239500
5,131000
5,118964
5,153337
5,147983
5,118858
5,118858
5,142953
5,148325
5,113722
7,269500
7,269500
7,269500
9,323262
8,297000
8,295493
9,332000
8,239900
8,212000
8,272500
9,239000
7,220000
7,200000
8,221800
7,194500
8,237000
6,173000
7,275000
7,233500
5,185000
5,152000
5,143000
6,231500
7,212000
7,207000
5,145000
5,138000
7,197900
7,204000
7,192000
6,200000
7,195000
7,227000
7,230000
7,187100
7,203000
7,201000
5,124000
5,140000
5,134900
5,150500
5,136500
5,143500
5,133500
5,123000
5,133900
5,133000
7,250000
8,254750
8,236500
8,261500
9,313000
7,198500
7,211000
8,220000
7,203000
8,279500
7,210000
7,219500
7,191000
7,178000
7,213000
6,144000
6,140000
8,293200
7,190000
7,190000
6,173500
6,170000
4,108000
5,167000
4,100000
7,198500
6,159500
4,127000
6,125000
9,320000
6,145500
5,118000
4,85000
5,120000
4,98000
5,99900
3,82000
5,119900
5,103500
4,112000
6,110000
5,122000
5,117000
5,160000
5,159434
2,60000
6,139500
7,197000
6,105000
4,135000
6,147500
6,137450
7,155000
6,177000
7,145000
7,137000
7,234000
5,205000
6,177500
5,160000
5,155000
5,163500
5,154900
7,205000
5,144800
7,174500
6,193000
5,158000
6,158500
6,224000
6,115000
6,137000
6,121000
6,124000
6,208000
7,315000
6,222000
5,147000
5,123000
5,78000
3,85000
4,75000
8,230000
2,57625
8,251000
7,239686
7,240000
6,215000
6,156450
6,173000
5,126000
7,173000
5,152000
6,137500
7,375000
9,315500
7,224500
9,410000
9,316500
8,201000
6,175000
6,204000
7,213500
8,220000
7,170000
9,315000
9,425000
5,139500
5,115000
6,162000
6,165000
4,91000
5,130000
4,86000
5,160000
4,80000
4,97000
4,88000
5,131900
6,131250
5,165500
5,112000
5,149000
5,143000
5,130000
6,196000
5,173000
6,176500
6,237500
6,206900
6,187500
6,165000
6,195500
6,192000
6,173000
5,177900
7,175000
8,286000
8,247900
8,180000
8,180000
6,181000
6,183000
6,188000
7,194500
6,185000
8,189000
8,188500
8,355000
9,325000
9,387000
6,115000
9,334000
6,133000
7,215000
7,226500
6,175500
7,181900
7,235000
7,220000
6,272000
6,161000
5,175000
7,185000
5,146900
7,292500
6,180000
6,159900
7,205000
5,157000
8,306000
5,133000
6,151000
4,111900
5,123000
4,111250
6,181000
6,103400
6,100000
6,100500
6,106000
6,85400
6,89500
5,111750
6,140000
6,143000
7,148500
5,110000
8,394617
10,426000
10,385000
9,446261
8,317500
8,372402
8,417500
9,383000
9,390000
10,460000
9,379000
8,250000
8,316000
10,615000
9,412500
7,284000
8,284000
8,421250
8,370000
9,336860
9,367294
7,192000
8,274000
9,266000
9,370967
8,234250
8,219500
7,155000
7,154000
7,207000
7,195000
7,219990
7,191000
7,159895
7,187687
6,179000
6,193000
7,190000
6,176000
7,188000
7,213000
7,217300
6,186500
7,226750
7,184000
7,176000
7,225000
7,185900
8,284500
8,315000
8,250000
9,291000
8,350000
7,279500
8,290000
8,350000
7,341000
7,287500
7,271000
8,301500
8,235128
6,214000
8,232000
7,240000
9,264132
8,245000
7,227680
8,257000
8,297900
8,247000
8,212700
7,250580
7,182000
7,226700
8,250000
7,250000
8,339750
7,205950
8,256000
7,230348
6,207500
7,141000
6,188000
7,192500
6,146000
5,159000
6,155000
6,173000
7,170000
6,182000
6,163000
6,193500
7,189000
6,190500
7,175000
6,179200
6,187000
6,193000
6,153900
5,128000
5,144000
5,135000
5,115000
5,119916
6,142000
6,192000
5,140000
6,290000
9,372500
7,196000
7,171900
7,178000
6,165000
7,146000
7,146000
7,179400
6,172900
9,300000
9,285000
9,290000
9,305000
9,328900
7,160000
7,170000
7,223000
8,170000
8,200000
10,345000
8,245500
8,217500
8,324000
6,162500
9,150000
8,290000
7,205000
7,174000
6,183000
6,150000
6,145000
7,215000
5,140500
6,240000
5,141000
5,147000
5,135000
5,145000
5,142600
5,135000
7,170000
8,299800
6,185000
6,173000
7,178400
7,176000
5,98000
4,109008
4,135750
5,155000
6,180500
6,174900
6,140000
6,145000
5,179900
6,168500
5,140000
5,145500
6,142000
4,141000
5,153000
3,72500
3,52000
5,118000
4,87000
5,141500
6,119000
5,141500
6,165500
5,112900
7,201800
6,163000
5,139950
6,174000
6,165000
6,227000
5,135000
5,124000
5,140000
5,136500
5,185000
6,163000
6,166800
6,139000
6,166000
6,136000
5,133000
5,116000
5,137500
5,130000
6,180000
5,139000
5,110000
5,100000
5,118500
5,146000
4,89900
5,114000
5,140000
4,86900
5,139000
4,106250
6,171000
5,139000
7,186000
6,157000
6,148000
7,242000
5,116000
5,94000
5,98300
5,127000
5,159000
5,125900
5,155000
6,138000
6,112500
6,105500
6,127500
5,130000
5,150000
5,109500
6,140000
6,167900
5,136870
6,143000
5,73000
5,157500
5,122600
5,111000
6,256000
5,64000
6,139500
4,118000
7,200000
4,119164
5,122250
7,120000
6,155000
5,78000
5,95000
5,115000
5,147000
5,140000
2,46500
5,112500
4,107900
3,65000
7,295000
5,139500
5,153900
7,132000
5,98000
5,114000
5,130000
6,129500
5,129400
7,161000
6,163000
6,128000
8,122000
7,116900
10,325000
2,55000
7,184000
5,110000
5,131500
5,97000
4,115500
5,138000
7,108000
5,79500
5,153000
5,109500
5,124000
6,106900
6,164900
5,119000
6,120000
6,157000
6,105000
6,113000
5,115000
4,79000
4,123000
5,81300
5,162900
7,150000
5,123500
7,129900
6,128000
4,68500
5,127000
6,207000
7,184000
6,162500
5,145000
6,130000
6,160000
8,161000
6,127500
6,93850
6,136000
6,141000
5,120000
6,127500
6,127000
6,89500
5,125000
6,79900
5,85000
3,82375
6,135000
5,124000
5,134000
5,135000
4,134432
5,127500
5,148000
5,129500
6,157500
5,109900
5,145000
5,130000
6,153000
5,120000
5,152000
4,108959
5,95541
5,80000
5,149350
5,144900
6,185000
5,165000
6,235000
5,140000
5,108000
5,145000
5,152400
5,144000
6,173000
7,192000
7,245000
7,241500
4,256000
6,177000
7,125600
6,155000
6,240000
5,260000
6,185000
6,235000
5,159900
5,99600
6,134500
5,119000
5,107500
5,125000
6,79000
5,95000
7,262280
6,260000
7,226500
7,225000
7,229000
7,177439
8,248500
9,475000
9,395039
7,228000
8,225000
6,195000
6,200000
5,155000
5,144000
5,145000
7,226001
6,215700
7,207500
7,193000
7,188000
7,191000
7,221000
7,231500
7,235000
7,223500
5,130250
5,149900
5,158000
6,147000
5,143195
5,163000
5,110000
5,127000
5,124900
8,230000
8,237000
7,235000
7,230500
8,230000
7,222500
8,287000
9,274000
8,300000
8,255900
7,224900
